Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
0,000007EB,false,Rx,0,8,21,02,00,82,02,00,00,00,
0,000007EB,false,Rx,0,8,22,00,00,00,0B,0B,0B,03,
0,000007EB,false,Rx,0,8,23,00,06,00,C0,02,00,00,
0,000007EB,false,Rx,0,8,24,00,AD,0E,00,00,00,00,
0,000007EB,false,Rx,0,8,25,00,03,00,FE,FF,FF,FF,
0,000007EB,false,Rx,0,8,26,00,00,00,00,98,33,00,
0,000007E3,false,Rx,0,8,04,18,00,FF,00,00,00,00,
0,000007EB,false,Rx,0,8,10,08,58,02,0A,0D,20,D1,
0,000007E3,false,Rx,0,8,30,00,00,00,02,00,00,00,
0,000007EB,false,Rx,0,8,21,16,20,00,00,00,00,00,
0,000007E3,false,Rx,0,8,03,17,0A,0D,00,00,00,00,
0,000007EB,false,Rx,0,8,10,2F,57,01,0A,0D,20,00,
0,000007E3,false,Rx,0,8,30,00,00,00,02,00,00,00,
0,000007EB,false,Rx,0,8,21,03,00,89,02,00,00,00,
0,000007EB,false,Rx,0,8,22,00,00,00,00,00,00,F2,
0,000007EB,false,Rx,0,8,23,FF,FD,FF,6E,02,00,00,
0,000007EB,false,Rx,0,8,24,00,00,00,00,00,00,00,
0,000007EB,false,Rx,0,8,25,00,01,00,FB,FF,04,00,
0,000007EB,false,Rx,0,8,26,00,00,00,00,00,00,00,
0,000007E3,false,Rx,0,8,03,17,D1,16,00,00,00,00,
0,000007EB,false,Rx,0,8,10,2F,57,01,D1,16,20,49,
0,000007E3,false,Rx,0,8,30,00,00,00,02,00,00,00,
0,000007EB,false,Rx,0,8,21,02,00,82,02,00,00,00,
0,000007EB,false,Rx,0,8,22,00,00,00,0B,0B,0B,03,
0,000007EB,false,Rx,0,8,23,00,06,00,C0,02,00,00,
0,000007EB,false,Rx,0,8,24,00,AD,0E,00,00,00,00,
0,000007EB,false,Rx,0,8,25,00,03,00,FE,FF,FF,FF,
0,000007EB,false,Rx,0,8,26,00,00,00,00,98,33,00,
0,000007E3,false,Rx,0,8,04,18,00,FF,00,00,00,00,
0,000007EB,false,Rx,0,8,10,08,58,02,0A,0D,20,D1,
0,000007E3,false,Rx,0,8,30,00,00,00,02,00,00,00,
0,000007EB,false,Rx,0,8,21,16,20,00,00,00,00,00,
0,000007E3,false,Rx,0,8,03,17,0A,0D,00,00,00,00,
0,000007EB,false,Rx,0,8,10,2F,57,01,0A,0D,20,00,
0,000007E3,false,Rx,0,8,30,00,00,00,02,00,00,00,
0,000007EB,false,Rx,0,8,21,03,00,89,02,00,00,00,
0,000007EB,false,Rx,0,8,22,00,00,00,00,00,00,F2,
0,000007EB,false,Rx,0,8,23,FF,FD,FF,6E,02,00,00,
0,000007EB,false,Rx,0,8,24,00,00,00,00,00,00,00,
0,000007EB,false,Rx,0,8,25,00,01,00,FB,FF,04,00,
0,000007EB,false,Rx,0,8,26,00,00,00,00,00,00,00,
0,000007E3,false,Rx,0,8,03,17,D1,16,00,00,00,00,
0,000007EB,false,Rx,0,8,10,2F,57,01,D1,16,20,49,
0,000007E3,false,Rx,0,8,30,00,00,00,02,00,00,00,
0,000007EB,false,Rx,0,8,21,02,00,82,02,00,00,00,
0,000007EB,false,Rx,0,8,22,00,00,00,0B,0B,0B,03,
0,000007EB,false,Rx,0,8,23,00,06,00,C0,02,00,00,
0,000007EB,false,Rx,0,8,24,00,AD,0E,00,00,00,00,
0,000007EB,false,Rx,0,8,25,00,03,00,FE,FF,FF,FF,
0,000007EB,false,Rx,0,8,26,00,00,00,00,98,33,00,
0,000007E3,false,Rx,0,8,04,18,00,FF,00,00,00,00,
0,000007EB,false,Rx,0,8,10,08,58,02,0A,0D,20,D1,
0,000007E3,false,Rx,0,8,30,00,00,00,02,00,00,00,
0,000007EB,false,Rx,0,8,21,16,20,00,00,00,00,00,
0,000007E3,false,Rx,0,8,03,17,0A,0D,00,00,00,00,
0,000007EB,false,Rx,0,8,10,2F,57,01,0A,0D,20,00,
0,000007E3,false,Rx,0,8,30,00,00,00,02,00,00,00,
0,000007EB,false,Rx,0,8,21,03,00,89,02,00,00,00,
0,000007EB,false,Rx,0,8,22,00,00,00,00,00,00,F2,
0,000007EB,false,Rx,0,8,23,FF,FD,FF,6E,02,00,00,
0,000007EB,false,Rx,0,8,24,00,00,00,00,00,00,00,
0,000007EB,false,Rx,0,8,25,00,01,00,FB,FF,04,00,
0,000007EB,false,Rx,0,8,26,00,00,00,00,00,00,00,
0,000007E3,false,Rx,0,8,03,17,D1,16,00,00,00,00,
0,000007EB,false,Rx,0,8,10,2F,57,01,D1,16,20,49,
0,000007E3,false,Rx,0,8,30,00,00,00,02,00,00,00,
0,000007EB,false,Rx,0,8,21,02,00,82,02,00,00,00,
0,000007EB,false,Rx,0,8,22,00,00,00,0B,0B,0B,03,
0,000007EB,false,Rx,0,8,23,00,06,00,C0,02,00,00,
0,000007EB,false,Rx,0,8,24,00,AD,0E,00,00,00,00,
0,000007EB,false,Rx,0,8,25,00,03,00,FE,FF,FF,FF,
0,000007EB,false,Rx,0,8,26,00,00,00,00,98,33,00,
0,000007E3,false,Rx,0,8,04,18,00,FF,00,00,00,00,
0,000007EB,false,Rx,0,8,10,08,58,02,0A,0D,20,D1,
0,000007E3,false,Rx,0,8,30,00,00,00,02,00,00,00,
0,000007EB,false,Rx,0,8,21,16,20,00,00,00,00,00,
0,000007E3,false,Rx,0,8,03,17,0A,0D,00,00,00,00,
0,000007EB,false,Rx,0,8,10,2F,57,01,0A,0D,20,00,
0,000007E3,false,Rx,0,8,30,00,00,00,02,00,00,00,
0,000007EB,false,Rx,0,8,21,03,00,89,02,00,00,00,
0,000007EB,false,Rx,0,8,22,00,00,00,00,00,00,F2,
0,000007EB,false,Rx,0,8,23,FF,FD,FF,6E,02,00,00,
0,000007EB,false,Rx,0,8,24,00,00,00,00,00,00,00,
0,000007EB,false,Rx,0,8,25,00,01,00,FB,FF,04,00,
0,000007EB,false,Rx,0,8,26,00,00,00,00,00,00,00,
0,000007E3,false,Rx,0,8,03,17,D1,16,00,00,00,00,
0,000007EB,false,Rx,0,8,10,2F,57,01,D1,16,20,49,
0,000007E3,false,Rx,0,8,30,00,00,00,02,00,00,00,
0,000007EB,false,Rx,0,8,21,02,00,82,02,00,00,00,
0,000007EB,false,Rx,0,8,22,00,00,00,0B,0B,0B,03,
0,000007EB,false,Rx,0,8,23,00,06,00,C0,02,00,00,
0,000007EB,false,Rx,0,8,24,00,AD,0E,00,00,00,00,
0,000007EB,false,Rx,0,8,25,00,03,00,FE,FF,FF,FF,
0,000007EB,false,Rx,0,8,26,00,00,00,00,98,33,00,
0,000007E3,false,Rx,0,8,04,18,00,FF,00,00,00,00,
0,000007EB,false,Rx,0,8,10,08,58,02,0A,0D,20,D1,
0,000007E3,false,Rx,0,8,30,00,00,00,02,00,00,00,
0,000007EB,false,Rx,0,8,21,16,20,00,00,00,00,00,
0,000007E3,false,Rx,0,8,03,17,0A,0D,00,00,00,00,
0,000007EB,false,Rx,0,8,10,2F,57,01,0A,0D,20,00,
0,000007E3,false,Rx,0,8,30,00,00,00,02,00,00,00,
0,000007EB,false,Rx,0,8,21,03,00,89,02,00,00,00,
0,000007EB,false,Rx,0,8,22,00,00,00,00,00,00,F2,
0,000007EB,false,Rx,0,8,23,FF,FD,FF,6E,02,00,00,
0,000007EB,false,Rx,0,8,24,00,00,00,00,00,00,00,
0,000007EB,false,Rx,0,8,25,00,01,00,FB,FF,04,00,
0,000007EB,false,Rx,0,8,26,00,00,00,00,00,00,00,
0,000007E3,false,Rx,0,8,03,17,D1,16,00,00,00,00,
0,000007EB,false,Rx,0,8,10,2F,57,01,D1,16,20,49,
0,000007E3,false,Rx,0,8,30,00,00,00,02,00,00,00,
0,000007EB,false,Rx,0,8,21,02,00,82,02,00,00,00,
0,000007EB,false,Rx,0,8,22,00,00,00,0B,0B,0B,03,
0,000007EB,false,Rx,0,8,23,00,06,00,C0,02,00,00,
0,000007EB,false,Rx,0,8,24,00,AD,0E,00,00,00,00,
0,000007EB,false,Rx,0,8,25,00,03,00,FE,FF,FF,FF,
0,000007EB,false,Rx,0,8,26,00,00,00,00,98,33,00,
0,000007E3,false,Rx,0,8,04,18,00,FF,00,00,00,00,
0,000007EB,false,Rx,0,8,10,08,58,02,0A,0D,20,D1,
0,000007E3,false,Rx,0,8,30,00,00,00,02,00,00,00,
0,000007EB,false,Rx,0,8,21,16,20,00,00,00,00,00,
0,000007E3,false,Rx,0,8,03,17,0A,0D,00,00,00,00,
0,000007EB,false,Rx,0,8,10,2F,57,01,0A,0D,20,00,
0,000007E3,false,Rx,0,8,30,00,00,00,02,00,00,00,
0,000007EB,false,Rx,0,8,21,03,00,89,02,00,00,00,
0,000007EB,false,Rx,0,8,22,00,00,00,00,00,00,F2,
0,000007EB,false,Rx,0,8,23,FF,FD,FF,6E,02,00,00,
0,000007EB,false,Rx,0,8,24,00,00,00,00,00,00,00,
0,000007EB,false,Rx,0,8,25,00,01,00,FB,FF,04,00,
0,000007EB,false,Rx,0,8,26,00,00,00,00,00,00,00,
0,000007E3,false,Rx,0,8,02,3E,00,00,00,00,00,00,
0,000007EB,false,Rx,0,8,02,7E,00,00,00,00,00,00,
0,000007E3,false,Rx,0,8,03,17,D1,16,00,00,00,00,
0,000007EB,false,Rx,0,8,10,2F,57,01,D1,16,20,49,
0,000007E3,false,Rx,0,8,30,00,00,00,02,00,00,00,
0,000007EB,false,Rx,0,8,21,02,00,82,02,00,00,00,
0,000007EB,false,Rx,0,8,22,00,00,00,0B,0B,0B,03,
0,000007EB,false,Rx,0,8,23,00,06,00,C0,02,00,00,
0,000007EB,false,Rx,0,8,24,00,AD,0E,00,00,00,00,
0,000007EB,false,Rx,0,8,25,00,03,00,FE,FF,FF,FF,
0,000007EB,false,Rx,0,8,26,00,00,00,00,98,33,00,
0,000007E3,false,Rx,0,8,04,18,00,FF,00,00,00,00,
0,000007EB,false,Rx,0,8,10,08,58,02,0A,0D,20,D1,
0,000007E3,false,Rx,0,8,30,00,00,00,02,00,00,00,
0,000007EB,false,Rx,0,8,21,16,20,00,00,00,00,00,
0,000007E3,false,Rx,0,8,03,17,0A,0D,00,00,00,00,
0,000007EB,false,Rx,0,8,10,2F,57,01,0A,0D,20,00,
0,000007E3,false,Rx,0,8,30,00,00,00,02,00,00,00,
0,000007EB,false,Rx,0,8,21,03,00,89,02,00,00,00,
0,000007EB,false,Rx,0,8,22,00,00,00,00,00,00,F2,
0,000007EB,false,Rx,0,8,23,FF,FD,FF,6E,02,00,00,
0,000007EB,false,Rx,0,8,24,00,00,00,00,00,00,00,
0,000007EB,false,Rx,0,8,25,00,01,00,FB,FF,04,00,
0,000007EB,false,Rx,0,8,26,00,00,00,00,00,00,00,
0,000007E3,false,Rx,0,8,03,17,D1,16,00,00,00,00,
0,000007EB,false,Rx,0,8,10,2F,57,01,D1,16,20,49,
0,000007E3,false,Rx,0,8,30,00,00,00,02,00,00,00,
0,000007EB,false,Rx,0,8,21,02,00,82,02,00,00,00,
0,000007EB,false,Rx,0,8,22,00,00,00,0B,0B,0B,03,
0,000007EB,false,Rx,0,8,23,00,06,00,C0,02,00,00,
0,000007EB,false,Rx,0,8,24,00,AD,0E,00,00,00,00,
0,000007EB,false,Rx,0,8,25,00,03,00,FE,FF,FF,FF,
0,000007EB,false,Rx,0,8,26,00,00,00,00,98,33,00,
0,000007E3,false,Rx,0,8,04,18,00,FF,00,00,00,00,
0,000007EB,false,Rx,0,8,10,08,58,02,0A,0D,20,D1,
0,000007E3,false,Rx,0,8,30,00,00,00,02,00,00,00,
0,000007EB,false,Rx,0,8,21,16,20,00,00,00,00,00,
0,000007E3,false,Rx,0,8,03,17,0A,0D,00,00,00,00,
0,000007EB,false,Rx,0,8,10,2F,57,01,0A,0D,20,00,
0,000007E3,false,Rx,0,8,30,00,00,00,02,00,00,00,
0,000007EB,false,Rx,0,8,21,03,00,89,02,00,00,00,
0,000007EB,false,Rx,0,8,22,00,00,00,00,00,00,F2,
0,000007EB,false,Rx,0,8,23,FF,FD,FF,6E,02,00,00,
0,000007EB,false,Rx,0,8,24,00,00,00,00,00,00,00,
0,000007EB,false,Rx,0,8,25,00,01,00,FB,FF,04,00,
0,000007EB,false,Rx,0,8,26,00,00,00,00,00,00,00,
0,000007E3,false,Rx,0,8,03,17,D1,16,00,00,00,00,
0,000007EB,false,Rx,0,8,10,2F,57,01,D1,16,20,49,
0,000007E3,false,Rx,0,8,30,00,00,00,02,00,00,00,
0,000007EB,false,Rx,0,8,21,02,00,82,02,00,00,00,
